Sample ID;Province;Site;Latitude (WGS84);Longitude (WGS84);87Sr/86Sr;2SE2
Zwartsluis 6;Drenthe;Klazienaveen;52,725;6,986;0,709142;9
Drenthe-15;Drenthe;Veenhuizen;53,052;6,394;0,709412;7
Drenthe-3;Drenthe;Smilde;52,946;6,451;0,709552;10
Drenthe 16;Drenthe;Emmer-Copascuum;52,812;7,046;0,7098;8
Zwartsluis 1;Flevoland;Swifterbant;52,567;5,642;0,708878;9
38-F4;Friesland;Leeuwarden;53,201;5,8;0,708934;10
Friesland 18;Friesland;Dokkum;53,326;6;0,708946;5
Sneek 6;Friesland;Sneek;53,034;5,656;0,708961;8
Friesland 10;Friesland;Leeuwarden;53,201;5,8;0,70898;6
Sneek 1;Friesland;Ijlst;53,01;5,625;0,709058;8
41-F12;Friesland;Oldeboorn;53,048;5,892;0,709122;9
Sneek 3;Friesland;Sneek;53,034;5,656;0,709126;8
Folter 8;Friesland;Goirle;51,524;5,064;0,709137;7
Friesland-7;Friesland;Wijnaldum;53,197;5,459;0,709199;10
40-F11;Friesland;Leeuwarden;53,203;5,828;0,70923;9
42-F13;Friesland;Leeuwarden;53,186;5,814;0,709337;9
Sneek 12;Friesland;Sneek;53,034;5,656;0,70934;9
36-F1;Friesland;Lippenhuizen;53,017;6,092;0,709432;9
39-F8;Friesland;Leeuwarden;53,215;5,801;0,709469;7
Friesland-6;Friesland;Leeuwarden;53,206;5,821;0,709583;9
37-F3;Friesland;Holwerd;53,368;5,901;0,709619;9
IDIS_026NL;Friesland;Sneek;53,035;5,661;0,709678;7
Sneek 13;Friesland;Dedgum;53,022;5,492;0,709723;7
Friesland 14;Friesland;Dokkum;53,326;6;0,709754;9
Geldermalsen 8;Gelderland;Geldermalsen;51,879;5,29;0,708964;8
Geldermalsen 1;Gelderland;Geldermalsen;51,879;5,29;0,709071;8
's-Hertogenbosch 18;Gelderland;Gameren;51,8;5,208;0,709232;7
's-Hertogenbosch 15;Gelderland;Opijnen;51,83;5,298;0,709265;8
Geldermalsen 4;Gelderland;Tricht;51,89;5,266;0,709496;7
Geldermalsen 5;Gelderland;Geldermalsen;51,879;5,29;0,709562;10
IDIS_005NL;Limburg;Heerlen;50,892;5,976;0,708469;6
Folter 4;Limburg;Moergestel;51,546;5,171;0,708774;8
43-R6;Limburg;Maastricht;50,851;5,717;0,708942;7
50-ZH4;Limburg;Heerlen;50,875;5,984;0,709169;9
Z.Heerlen 7;Limburg;Schinveld;50,967;5,981;0,709208;8
Helmond 16;Limburg;Weert;51,244;5,714;0,709215;10
Maastricht 17;Limburg;Maastricht ;50,851;5,691;0,709315;9
49-ZH3;Limburg;Heerlen;50,895;5,989;0,709319;9
Heerlen 5;Limburg;Klimmen;50,87;5,886;0,709323;8
Maastricht 6;Limburg;Maastricht ;50,851;5,691;0,709328;12
Limburg-6;Limburg;Maastricht;50,851;5,673;0,709351;8
Helmond 13;Limburg;Kerkrade;50,866;6,071;0,709377;8
48-ZH1;Limburg;Heerlen;50,888;5,979;0,709424;8
Heerlen 10;Limburg;Simpelveld;50,833;5,988;0,709461;9
Z.Heerlen 8;Limburg;Schimmert;50,906;5,826;0,709473;8
Z-Heerlen 2;Limburg;Brunssum;50,949;5,972;0,70949;10
's-Hertogenbosch 17;Limburg;Venlo;51,367;6,187;0,709493;8
Maastricht 15;Limburg;Maastricht ;50,851;5,691;0,709528;8
47-M14;Limburg;Maastricht;50,834;5,685;0,709546;10
44-M4;Limburg;Maastricht;50,846;5,727;0,709596;7
45-M5;Limburg;Maastricht;50,831;5,708;0,709644;10
Maastricht 16;Limburg;Maastricht ;50,851;5,691;0,709682;7
Helmond 2;Limburg;Venray;51,526;5,974;0,709711;7
51-ZH9;Limburg;Vaals;50,774;6,013;0,709862;8
Veldhoven 9;Noord_Brabant;Nuenen;51,469;5,556;0,708991;10
Folter 2-C;Noord_Brabant;Riel;51,525;5,023;0,709058;7
Helmond II;Noord_Brabant;Helmond;51,479;5,657;0,709062;8
Breda 8;Noord_Brabant;Prinsenbeek;51,599;4,711;0,709094;7
Helmond 5;Noord_Brabant;Helmond;51,479;5,657;0,709169;6
Breda 3;Noord_Brabant;Breda ;51,59;4,78;0,709316;9
