ID;Sample ID;Province;Location;Latitude (WGS84);Longitude (WGS84);Water company ;87Sr/86Sr;2SE2
69;Hoogeveen;Drenthe;Hoogeveen;52,118;5,878;WMD;0,708623;10
91;Norg II;Drenthe;Norg;51,813;5,837;WMD;0,708702;9
92;Norg III;Drenthe;Norg;53,065;6,462;WMD;0,708713;10
70;LF50;Drenthe;Hoogeveen;52,723;6,481;WMD;0,708729;7
35;Diever;Drenthe;Diever;52,855;6,318;WMD;0,70894;8
23;Borger;Drenthe;Borger;52,923;6,795;WMD;0,7097;8
46;Emmen;Drenthe;Emmen;52,782;6,896;WMD;0,710174;9
87;LF49;Drenthe;Nieuw Weerdinge;52,857;6,988;WMD;0,710293;8
85;Meppel;Drenthe;Meppel;50,795;5,925;Vitens;0,710636;8
41;Dronten;Flevoland;Dronten;52,535;5,722;Vitens;0,708835;8
9;Almere Centrum;Flevoland;Almere Centrum;52,374;5,219;Vitens;0,708871;9
8;Almere;Flevoland;Almere Buiten;52,374;5,219;Vitens;0,708872;8
81;Lelystad;Flevoland;Lelystad;52,151;4,528;Vitens;0,708891;8
39;Drachten;Flevoland;Drachten;53,106;6,083;Vitens;0,70908;6
45;Emmeloord;Flevoland;Emmeloord;52,712;5,755;Vitens;0,709105;8
77;Leeuwarden;Friesland;Leeuwarden;50,866;6,071;Vitens;0,708936;12
62;Heerenveen;Friesland;Heerenveen;52,961;5,921;Vitens;0,70895;5
60;Harlingen;Friesland;Harlingen;53,175;5,425;Vitens;0,708951;10
40;LF51;Friesland;Drachten;53,106;6,083;Vitens;0,709073;8
51;Franeker;Friesland;Franeker;53,189;5,556;Vitens;0,709582;8
134;Winterswijk;Gelderland;Winterswijk;51,971;6,721;Vitens;0,708369;6
26;Bredevoort;Gelderland;Bredevoort;51,942;6,618;Vitens;0,708393;9
43;Ede;Gelderland;Ede;52,04;5,665;Vitens;0,708712;8
19;Arnhem Zuid;Gelderland;Arnhem (zuid);51,985;5,899;Vitens;0,708715;9
115;Tiel II;Gelderland;Tiel;51,888;5,428;Vitens;0,708774;9
36;Doetinchem;Gelderland;Doetinchem;51,965;6,294;Vitens;0,708903;8
130;Wageningen;Gelderland;Wageningen;51,969;5,665;Vitens;0,709099;8
123;Velp;Gelderland;Velp;51,994;5,978;Vitens;0,709224;6
50;Ermelo;Gelderland;Ermelo;52,299;5,63;Vitens;0,709377;6
18;Arnhem Centrum;Gelderland;Arnhem (centrum);51,985;5,899;Vitens;0,70941;11
89;Nijmegen II;Gelderland;Nijmegen;51,813;5,837;Vitens;0,709438;8
90;Nijmegen;Gelderland;Nijmegen;52,025;5,092;Vitens;0,709463;8
68;Hoenderloo;Gelderland;Hoenderloo;52,229;5,167;Vitens;0,709875;12
14;Apeldoorn;Gelderland;Apeldoorn;52,211;5,97;Vitens;0,709976;8
15;LF52;Gelderland;Apeldoorn;52,211;5,97;Vitens;0,710162;8
133;Winschoten;Groningen;Winschoten;53,142;7,037;Waterbedrijf Groningen;0,708566;10
111;Stadskanaal;Groningen;Stadskanaal;52,121;5,285;Waterbedrijf Groningen;0,708676;6
93;Nuis;Groningen;Nuis;53,065;6,462;Waterbedrijf Groningen;0,70871;6
33;Den Andel;Groningen;Den Andel;53,393;6,509;Waterbedrijf Groningen;0,708714;8
16;Appingedam;Groningen;Appingedam;53,321;6,854;Waterbedrijf Groningen;0,70884;10
17;LF53;Groningen;Appingenam;53,321;6,854;Waterbedrijf Groningen;0,708869;8
56;Groningen II;Groningen;Groningen II;53,219;6,567;Waterbedrijf Groningen;0,70916;11
55;Groningen;Groningen;Groningen;53,219;6,567;Waterbedrijf Groningen;0,709198;7
64;LF19;Limburg;Heerlen ;50,888;5,979;WML;0,708383;7
63;Heerlen;Limburg;Heerlen;50,888;5,979;WML;0,708406;11
84;Mechelen;Limburg;Mechelen;50,851;5,691;WML;0,708423;11
49;Enspijk;Limburg;Enspijk;51,883;5,211;WML;0,708994;11
